source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,What is the rationale for migration to the new par value regime?,"Q: What is the rationale for migration to the new par value regime?

A: (a) Nominal or par value is only applicable at the point of issuance of shares. The actual value of shares in a company varies in accordance with the current situation faced by the company; (b) The issued price of shares will be determined by the current value of the company, factors affecting the business of the company and the capital that the company is seeking to raise; (c) The nominal value, per se, does not accord protection to the shareholders. Instead, the rights of shareholders are attached to the shares, which are the right to attend, speak and vote at meetings of shareholders and the right to receive dividends; and (d) The rights of shareholders depend on the number of shares held and not the value of shares when it was first purchased."
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,"In a no par value regime, how would the Board of Directors determine the pricing for issuance of shares?","Q: In a no par value regime, how would the Board of Directors determine the pricing for issuance of shares?

A: In an ordinary corporate scenario, a company allots new shares in order to raise additional capital to fund its business operations; The valuation method to determine the share price would vary between companies. One way could be based on the financial performance of the company. Using the financial statements as the guide, the Board may perform a quantitative analysis to determine a proportionate share pricing. At the same time, there are also some qualitative analysis that a company may want to use. The prospects, the risks associated with the company, issue of control etc. In determining the share pricing, the Board must also consider all issues and act in the best interest of the company. Part N - Page 1 PART N | SHARES AND SOLVENCY STATEMENT (ii) SUBSTANTIAL SHAREHOLDER (updated on 9 June 2017)"
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,"Notification of substantial shareholder under section 141. How will a substantial shareholder ""serve"" the notice under s","Q: Notification of substantial shareholder under section 141. How will a substantial shareholder ""serve"" the notice under section 141 to SSM? Can it be by fax or email?

A: Via mail/post or over the counter (until notification by SSM is given to allow for notification by email)"
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,Lodgement will be done by substantial shareholder or through company secretary? Does it attract payment of RM100 under i,"Q: Lodgement will be done by substantial shareholder or through company secretary? Does it attract payment of RM100 under item 48 in the Schedule of Fee?

A: By substantial shareholder and there is no fee for notification."
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,What are the documents fall under item 48 of the Schedule of Fee?,"Q: What are the documents fall under item 48 of the Schedule of Fee?

A: Item 48 refers to any applications/requests for Registrar to approve/take action"
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,How does the 3 or 5 days' notification period apply if the acquisition or change of substantial interest is on Friday an,"Q: How does the 3 or 5 days' notification period apply if the acquisition or change of substantial interest is on Friday and Monday is a public holiday? Can we apply the concept in Interpretation Act, i.e. excluding Sunday and public holidays?

A: The computation of 3 or 5 days should be based on section 54 of the Interpretations Act 1948 and 1967 as follows: ""Section 54 (1) of the Act 388 In computing time for the purposes of any written law- (a) a period of days from the happening of an event or the doing of any act or thing shall be deemed to be exclusive of the day on which the event happens or the act or thing is done; (b) if the last day of the period is a weekly holiday or a public holiday (referred to in this subsection as excluded days) the period shall include the next following day which is not an excluded day; Part N - Page 2 (c) where any act or proceeding is directed or allowed to be done or taken on a certain day, then, if that day happens to be an excluded day, the act or proceeding shall be considered as done or taken in due time if it is done or taken on the next following day which is not an excluded day; and (d) where any act or proceeding is directed or allowed to be done or taken within any time not exceeding six days, excluded days shall not be reckoned in the computation of time."""
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,"Substantial shareholder will now need to give two (2) notices, one under sections 137, 138 or 139 and another one under ","Q: Substantial shareholder will now need to give two (2) notices, one under sections 137, 138 or 139 and another one under section 141? Why can't the substantial shareholder submit to SSM the same notice served to the company, instead of submitting another form under section 141?

A: Notices must be submitted via notification under section 141 by attaching notices issued under sections 137, 138 and/or 139 respectively."
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,"If the notification under section 141 is to be lodged by the secretary of the company [as referenced in section 134(2)],","Q: If the notification under section 141 is to be lodged by the secretary of the company [as referenced in section 134(2)], does it mean that the secretary will have to lodge two (2) documents, one under section 141 (on the same day when the notice under sections 137, 138 or 139 has been given to the company) and another one under Section 51 on changes to the Register of Members assuming it is a non-listed company (within 14 days)?

A: Lodgement under section 141 is to be lodged by the substantial shareholder. Changes to the Register of Members under section 51 must be lodged by company secretaries within 14 from the changes entered into ROM."
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,"Throughout the Movement Control Order (MCO) and until now, section 141 Form which is the Notice of Interest of a Substan","Q: Throughout the Movement Control Order (MCO) and until now, section 141 Form which is the Notice of Interest of a Substantial Shareholder can be submitted via email to ciudocuments@ssm.com.my. Is this submission still acceptable via email? (Updated on 13 March 2023)

A: The acceptance of the submission of the form under section 141 during the Movement Control Order (MCO) is intended to assist the operation of closed counters and the limitation of operating hours throughout the period. As the SSM counter has been fully operational, the submission of section 141 Form must be submitted at the SSM counter starting on 20th March 2023. Part N - Page 3 (iii) ALTERATION OF SHARE CAPITAL (updated on 4 July 2018)"
ca_faq_1_partN,FAQ - SHARES AND SOLVENCY STATEMENT,PART N SHARES AND SOLVENCY STATEMENT,,,PART N SHARES AND SOLVENCY STATEMENT,Can a company alter its share capital by way of ordinary resolution as part of its corporate exercise pursuant to sectio,"Q: Can a company alter its share capital by way of ordinary resolution as part of its corporate exercise pursuant to section 84 of the Companies Act 2016?

A: A company is required to comply with section 84 of the Companies Act 2016 when it intends to alter its share capital by passing a special resolution to- (a) consolidate and divide its share capital; (b) convert its paid-up shares into stock and vice-versa; or (c) subdivide its shares. However, the company is permitted to carry out the alteration of its share capital under section 84 of the Companies Act 2016 by way of ordinary resolution if it is specifically stated as such in the company's constitution. Further, the company's constitution may exclude or restrict the exercise of any of the power conferred by this section where it is permitted by the Act. (iv) PREFERENCE SHARES (updated on 5 September 2019)"
