qa_id,timestamp,question,answer,sources_used,user_rating
a54d509eba57,2026-03-02T16:13:46.891259,How to apply Striking Off?,"To apply for Striking Off under Section 549(a) of the Companies Act 2016:

1.  **Eligibility:** The company must be a body corporate, not a holding company, not involved in legal proceedings, not making a return of capital, and not being wound up (unless specific conditions under Section 549(d) are met).
2.  **Application Form:** The applicant (shareholder or liquidator, if applicable) must complete the **Declaration-Application to Strike Off Company** form.
3.  **Submission:** The completed form must be submitted along with the required fee (RM100.00 for the application, RM500.00 for withdrawal, RM300.00 for objection).
4.  **Requirements:** The application must be supported by proof that the Registrar's records are up-to-date, the company is not involved in legal proceedings, and the company has not made a return of capital.
5.  **Withdrawal:** An applicant may withdraw the striking off application within 30 days from the date of notice/notification issued under Section 551(1) by writing to the Registrar indicating the reasons and paying RM500.00.
6.  **Objection:** Any person may file an objection within 60 days from the date of the notice/notification issued under Section 551(1) by submitting the objection and supporting documents with a fee of RM300.00.
7.  **Publication:** Upon publication of the Gazette pursuant to Section 551(3), the company's name is struck off.","Guidelines For Striking Off Section 549(a), Companies Act 2016 (Act 777) - 1 Aug 2022, Companies Act 2016 : Practice Note No. 5/2019: Queries Issued on Documents and Applications Lodged with the Registrar, Guidelines For Striking Off Section 549(d)",5
08bb505079dc,2026-03-02T16:20:51.778588,how much to incorporate private company,"To incorporate a private company, the application fee is RM200. This fee is mentioned in the checklist for CLBG under Section 45 Companies Act 2016, point A.1.","Companies Act 2016 (Act 777) - 1 Aug 2022, FAQ - INCORPORATION, FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT], Checklist for CLBG (1-8)",1
7ab0d412f004,2026-03-04T12:25:43.733080,what is meant by dormant company?,"**Direct Answer**
A company is dormant in a financial year if the company does not carry on business and there is no accounting transaction occurred. **(Practice Directive 10/2024, paragraph 11(a))**

**Relevant Provisions**
- Section 245(1), Companies Act 2016: ""Accounting transaction"" means a transaction, accounting or other records of which is required to be kept under section 245(1) of the Companies Act 2016, excluding a transaction arising from any obligations that the company is required to abide by any laws to pay and its related costs to comply. **(Practice Directive 10/2024, paragraph 11(b))**
- Section 549(a), Companies Act 2016: The Registrar may strike a company off the register if the company is not carrying on business or is not in operation. **(Guidelines For Striking Off Section 549(a), paragraph 3)**

**Practical Notes**
- A company cannot state its nature of business as ""dormant"" in its Annual Return. **(Practice Directive 2/2017, paragraph 6)**
- Dormant companies qualify for audit exemption if they have been dormant since incorporation or in the current and immediate past financial year. **(FAQ - AUDIT EXEMPTION, A)**
- Dormancy is defined as the company not carrying on business or not in operation, which aligns with Section 549(a) of the Companies Act 2016. **(Guidelines For Striking Off Section 549(a), paragraph 4)**","Practice Directive 10/2024 - Qualifying Criteria For Audit Exemption For Certain Private Companies In Malaysia, FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING, FAQ - AUDIT EXEMPTION, Companies Act 2016 (Act 777) - 1 Aug 2022, Guidelines For Striking Off Section 549(a), Practice Directive 2/2017 (Revised) - Notification of Change in the Business Address (including Branches) and/or Nature of Business, Companies (Corporate Rescue Mechanism) Rules 2018",5
e9f33a048094,2026-03-11T15:36:02.642581,help me draft the application,"To draft a valid application for company registration under the **Companies Act 2016**, your company must include the following details as specified in **Section 14(3)**:  

1. **Proposed company name**: Ensure it complies with the **Guidelines on Company Names** (issued under Section 20C of the Companies Commission of Malaysia Act 2001), which apply to all name registration applications. Avoid names that are identical to existing entities **(Section 14(3)(a), Companies Act 2016)**.  

2. **Company status**: Clearly state whether the company is private or public **(Section 14(3)(b), Companies Act 2016)**.  

3. **Nature of business**: Provide a concise description of the company’s primary activities.  

4. **Registered office address**: Include the physical address where the company’s official documents will be kept.  

5. **Members’ details**: List all members, including their names, identification numbers, nationalities, and residences. For corporate members, include the corporate name, place of incorporation, registration number, and registered office address **(Section 14(3)(e), Companies Act 2016)**.  

6. **Directors’ details**: Provide the names, identification numbers, nationalities, and residences of all directors **(Section 14(3)(f), Companies Act 2016)**.  

7. **Secretary’s details (if applicable)**: Include the name, identification number, nationality, and residence of the secretary, if the company has one **(Section 14(3)(g), Companies Act 2016)**.  

8. **Additional requirements**: The Registrar may refuse registration if the company’s purpose is unlawful or prejudicial to public order, morality, or security **(Section 16(2), Companies Act 2016)**.  

Before submitting, verify that all information is accurate and complete. The application must be lodged with the Registrar of Companies, and fees (e.g., RM100 per land, as per the **Checklist for CLBG (1-8)**) must be paid via cash, money order, bank draft, or banker’s cheque to SSM.  

Let me know if yo","Companies Act 2016 (Act 777) - 1 Aug 2022, Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Guidelines on Asset Management (section 556 and 558) (Revised), Companies Act 2016 : Practice Note No. 5/2019: Queries Issued on Documents and Applications Lodged with the Registrar, Checklist for CLBG (1-8), Guidelines For Striking Off Section 549(a)",1
e7c96bc69bf2,2026-03-12T15:26:50.516615,how to register company,"To register a company in Malaysia, you’ll need to pay specific fees depending on the type of company you’re forming. According to **Companies Regulations 2017 (Regulation 8)**, the fees are as follows:  
- **Company limited by share**: RM 1,000.00  
- **Company limited by guarantee**: RM 3,000.00  
- **Unlimited company**: RM 1,000.00  

These fees apply when applying for incorporation under **Section 14 of the Companies Act 2016**.  

The context provided does not include detailed steps for the registration process itself (e.g., name reservation, document preparation, or submission procedures). For this specific question, I’d recommend checking directly with **SSM** or consulting a licensed company secretary for full guidance.","Circular 1/2020 - Guidance Notes on the Registration of Firms of Liquidators and Notification on the Approval as an Approved Liquidator (Amended on 1 April 2024), FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, FAQ - EXECUTION OF DOCUMENTS, FAQ - MEETINGS AND DECISION MAKING, FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES, Companies Regulations 2017, Prescription of Amount of Indebtedness of Company under paragraph 466(1)(a) (GN No. 21841 of 2020), Practice Directive 5/2018 – Lodgement of Annual Return and Changes or Updates of Particulars of a Company to be Lodged in the Annual Return",1
69aba6f52877,2026-03-12T15:28:34.894231,how to register company,"To register a company in Malaysia, you’ll need to pay specific fees depending on the type of company you’re forming. According to **Companies Regulations 2017 (Regulation 8)**, the fees are as follows:  
- **Company limited by share**: RM 1,000.00  
- **Company limited by guarantee**: RM 3,000.00  
- **Unlimited company**: RM 1,000.00  

These fees apply when applying for incorporation under **Section 14 of the Companies Act 2016**.  

The context provided does not include detailed steps for the registration process itself (e.g., name reservation, document preparation, or submission procedures). For this specific question, I’d recommend checking directly with **SSM** or consulting a licensed company secretary for full guidance.","Circular 1/2020 - Guidance Notes on the Registration of Firms of Liquidators and Notification on the Approval as an Approved Liquidator (Amended on 1 April 2024), FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, FAQ - EXECUTION OF DOCUMENTS, FAQ - MEETINGS AND DECISION MAKING, FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES, Companies Regulations 2017, Prescription of Amount of Indebtedness of Company under paragraph 466(1)(a) (GN No. 21841 of 2020), Practice Directive 5/2018 – Lodgement of Annual Return and Changes or Updates of Particulars of a Company to be Lodged in the Annual Return",1
515f02563e82,2026-03-16T14:37:58.421813,how to register company,"I couldn't find this in the documents I have access to. For this specific question, I'd recommend checking directly with SSM or consulting a licensed company secretary. The CONTEXT provided does not contain information about the procedure to register a company.","Circular 1/2020 - Guidance Notes on the Registration of Firms of Liquidators and Notification on the Approval as an Approved Liquidator (Amended on 1 April 2024), FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING, FAQ - AUDITOR, FAQ - EXECUTION OF DOCUMENTS, FAQ - MEETINGS AND DECISION MAKING, FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES, Companies (Company Auditor and Liquidator Fees) Regulations 2020",1
617544ca943e,2026-03-16T15:15:55.751822,procedure to strike of company,"I couldn't find this in the documents I have access to. For this specific question, I'd recommend checking directly with SSM or consulting a licensed company secretary. The CONTEXT provided does not contain information about the procedure to strike off a company.","Companies Act 2016 (Act 777) - 1 Aug 2022, Guidelines For Striking Off Section 549(a), Companies Act 2016 : Practice Note No. 5/2019: Queries Issued on Documents and Applications Lodged with the Registrar, Guidelines For Striking Off Section 549(d)",1
b3a48544a507,2026-03-16T15:34:30.588776,cara daftar syarikat,"Untuk mendaftarkan syarikat di Malaysia, langkah-langkah utama adalah seperti berikut:  

1. **Pilih nama syarikat** yang memenuhi syarat. Nama tersebut **tidak boleh identik dengan nama syarikat yang sedia wujud** atau nama yang sedang disimpan oleh Jabatan Kementerian Kewangan (Section 26(1), Companies Act 2016). Anda juga perlu memastikan nama tersebut **tidak termasuk istilah yang tidak disukai atau tidak dapat diterima** (**(Guidelines on Company Names, para 4)**.  

2. **Pendaftaran nama syarikat** perlu dilakukan terlebih dahulu. Jabatan akan menyimpan nama tersebut selama **30 hari** dari tarikh permohonan, atau tempoh yang lebih lama jika dibenarkan (**(Guidelines on Company Names, para 5)**. Kos pendaftaran nama adalah **RM50** untuk setiap 30 hari atau bahagian daripadanya, dengan tempoh maksimum 180 hari (**(Companies Regulations 2017, No. 3)**.  

3. **Buat dokumen pendirian syarikat**, iaitu **Memorandum dan Articles of Association** yang mengandungi butiran seperti nama syarikat, jumlah ahli, dan butiran pendaftar.  

4. **Hantar permohonan pendaftaran** kepada Jabatan Kementerian Kewangan bersama dengan **yuran pendaftaran** yang berbeza mengikut jenis syarikat:  
   - Syarikat terhad oleh saham: **RM1,000**  
   - Syarikat terhad oleh jaminan: **RM3,000**  
   - Syarikat tidak terhad: **RM1,000**  
   (**(Companies Regulations 2017, No. 1)**.  

5. **Tunggu kebenaran Jabatan** dan terima **Sijil Pendaftaran Syarikat** sebagai bukti rasmi syarikat tersebut telah didaftarkan (**(Section 16(1), Companies Act 2016)**.  

Pastikan semua dokumen dan yuran disediakan dengan betul untuk mengelakkan keterlambatan. Jika memerlukan bantuan tambahan, Jabatan Kementerian Kewangan boleh memberikan panduan lanjut.","Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Companies Regulations 2017, Companies Act 2016 (Act 777) - 1 Aug 2022, Guidelines For Striking Off Section 549(a), Registration of Businesses Act 1956 (Act 197) - 1 Jun 2017",1
1e49ef8cc503,2026-03-17T08:59:56.391728,how to register company?,"I couldn't find this in the documents I have access to. For this specific question, I'd recommend checking directly with SSM or consulting a licensed company secretary. The CONTEXT provided does not contain information about the procedure to register a company.","Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Companies Regulations 2017, Registration of Businesses Act 1956 (Act 197) - 1 Jun 2017, Guidelines For Striking Off Section 549(a), Companies Act 2016 (Act 777) - 1 Aug 2022, Limited Liability Partnership Act 2012 (Act 743) - 1 Mar 2017, Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters, FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES, Circular 1/2020 - Guidance Notes on the Registration of Firms of Liquidators and Notification on the Approval as an Approved Liquidator (Amended on 1 April 2024)",1
