source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,,,,,What are the changes to the General Meeting Requirements under the new Act?,"Q: What are the changes to the General Meeting Requirements under the new Act?

A: Under the Companies Act 2016, the requirement for Annual General Meeting for
private companies has been done away with. This means that a private company is
no longer required to hold AGM in every calendar year. All meetings of a private
company are known as meeting of members.
However, the requirement for AGM for public companies is maintained."
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,,,,,Shifting towards Written Resolution Regimes - What is the new Majority Written Resolution Procedure?,"Q: Shifting towards Written Resolution Regimes - What is the new Majority Written Resolution Procedure?

A: Under the Companies Act 2016, the procedures for written resolutions are provided
under sections 297-308.
The written resolution procedures are applicable only to private companies. The
written resolutions are passed in accordance to the required majority as though it is
passed at an actual meeting.
This means that if the written resolution is an ordinary resolution, a simple majority
of members who are eligible to vote is sufficient to pass the resolution. Whereas, a
special resolution will require 75% or more of members who are eligible to vote to
pass the resolution."
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,,,,,"Section 290(2) states that, resolution of members of a public company shall be passed at a meeting of members, does that","Q: Section 290(2) states that, resolution of members of a public company shall be passed at a meeting of members, does that mean public company can no longer pass a Members' Circular Resolution? Since there is no provision equivalent to section 147(6) of the Companies Act 1965, for wholly-owned subsidiary's general meeting, will a physical meeting need to be convened? ie notice, attendance list and minutes to be prepared accordingly? (updated on 9 June 2017) Part O - Page 1 PART O | MEETINGS AND DECISION MAKING

A: Yes.
Section 147(6) of the Companies Act 1965 is not adopted under Companies Act 2016
due to the introduction of the single member, single director company concept.
For a private company which is a wholly-owned subsidiary of a public company -
such company can pass a written resolution.
But if it is a public company which is wholly owned by a private company then,
resolutions cannot be passed via written resolution. There need to be a properly
convened 'physical' meeting attended by the corporate representative of the private
company who is attending meeting of the public company. Hence, notice, attendance
list and minutes are to be prepared accordingly.
Section 344 of the Companies Act 2016 is applicable to a sole member public
company but the sole member of a public company cannot make a decision by way
of written resolution as a written resolution can only be proposed by a member of a
private company pursuant to section 297. (updated on 7 August 2019)
(ii) PROXY FORMS (updated on 18 April 2017)"
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,,,,,What is the appropriate timeframe to deposit proxy forms?,"Q: What is the appropriate timeframe to deposit proxy forms?

A: Subsection 334(3) of the Companies Act 2016 regulates the time period for lodgment
of proxy forms or instrument.
For a proxy form or instrument to be valid, it must be deposited not less than 48
hours before the time for holding the meeting or adjourned meeting (48-hour rule)
or in the case of a poll, not less than 24 hours before the time appointed for the
taking of the poll (24-hour rule).
Subsection 334(3) refers to two different time period:
(a) The time for holding the meeting or adjourned meeting which refers to the
time as set out in the notice of meeting of when the meeting shall be held;
and
(b) The time appointed for taking of the poll which refers to the time fixed by
the chairman of the meeting for the purpose of taking the poll."
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,different time frame for depositing the proxy forms or instrument would apply
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,"When a notice of meeting was given, it contains the date and time for the meeting"
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,to take place and does not contain any time appointed for the taking of the poll.
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,Instead the time appointed for taking of the poll will only be decided by the chairman
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,of the meeting during the time when the resolutions are to be put to vote at the
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,meeting after due dealing with the business of the meeting as set out under
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,Subsection 332(2) of the Companies Act 2016 sets out the rule relating to when the
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,poll shall be taken. It is provided in the said subsection 332(2) that the poll if duly
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,If the poll is taken forthwith after the discussion of the business (there is no time
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,"appointed for taking the poll), the members and proxies present shall cast the votes"
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,and the meeting is concluded after the poll and the result declared.
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,"However, where the chairman of the meeting decides to hold a poll taking on a later"
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,"time or date, the time fixed for taking the poll does not constitute an adjournment of"
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,"meeting but only regarded as ""mere enlargement"" or ""a continuation"" of the meeting."
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,Therefore the 48-hour rule requiring proxy forms or instruments to be deposited
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,before the time for holding the meeting or adjourned meeting does not apply to
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,instances where the chairman of a meeting has decided to hold a poll at a later
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,"Instead, for members who wish to change proxies to cast the poll at the time"
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,"appointed for the taking of the poll, the law allows them to deposit the proxy forms"
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,,or instruments not less than 24 hours before the appointed time.
ca_faq_1_partO,FAQ - MEETINGS AND DECISION MAKING,The two different time periods refer to two different events and accordingly the,,,The two different time periods refer to two different events and accordingly the,What if the constitution of a company provides that the deposit of proxy form or instrument must be at least 48 hours be,"Q: What if the constitution of a company provides that the deposit of proxy form or instrument must be at least 48 hours before the time for the holding of meeting AND the time appointed for the taking of the poll?

A: The 48-hour rule is valid for the deposit of proxy forms or instruments for attendance
of the meeting.
However, the company must still observe the 24-hour rule to allow members to
deposit proxy forms or instrument if the chairman has decided to hold a poll at a later
time/date.
Part O - Page 3"
